"file","date","time","community","replicate","measure_point","Tet","Pca","Col","Ble","hours"
"sample_0001","2019-01-14",10,"Tet",1,"t0",509.702647199482,0,0,0,0
"sample_0002","2019-01-14",10,"Tet",2,"t0",509.702647199482,0,0,0,0
"sample_0003","2019-01-14",10,"Tet",3,"t0",509.702647199482,0,0,0,0
"sample_0004","2019-01-14",10,"Pca",1,"t0",0,8.58581596196585,0,0,0
"sample_0005","2019-01-14",10,"Pca",2,"t0",0,8.58581596196585,0,0,0
"sample_0006","2019-01-14",10,"Pca",3,"t0",0,8.58581596196585,0,0,0
"sample_0007","2019-01-14",10,"Col",1,"t0",0,0,90.0188482853687,0,0
"sample_0008","2019-01-14",10,"Col",2,"t0",0,0,90.0188482853687,0,0
"sample_0009","2019-01-14",10,"Col",3,"t0",0,0,90.0188482853687,0,0
"sample_0010","2019-01-14",10,"Ble",1,"t0",0,0,0,1.64008214476608,0
"sample_0011","2019-01-14",10,"Ble",2,"t0",0,0,0,1.64008214476608,0
"sample_0012","2019-01-14",10,"Ble",3,"t0",0,0,0,1.64008214476608,0
"sample_0013","2019-01-14",10,"Ble_Tet",1,"t0",509.702647199482,0,0,1.64008214476608,0
"sample_0014","2019-01-14",10,"Ble_Tet",2,"t0",509.702647199482,0,0,1.64008214476608,0
"sample_0015","2019-01-14",10,"Ble_Tet",3,"t0",509.702647199482,0,0,1.64008214476608,0
"sample_0016","2019-01-14",10,"Ble_Pca",1,"t0",0,8.58581596196585,0,1.64008214476608,0
"sample_0017","2019-01-14",10,"Ble_Pca",2,"t0",0,8.58581596196585,0,1.64008214476608,0
"sample_0018","2019-01-14",10,"Ble_Pca",3,"t0",0,8.58581596196585,0,1.64008214476608,0
"sample_0019","2019-01-14",10,"Ble_Col",1,"t0",0,0,90.0188482853687,1.64008214476608,0
"sample_0020","2019-01-14",10,"Ble_Col",2,"t0",0,0,90.0188482853687,1.64008214476608,0
"sample_0021","2019-01-14",10,"Ble_Col",3,"t0",0,0,90.0188482853687,1.64008214476608,0
"sample_0022","2019-01-14",10,"Tet_Ble_Pca",1,"t0",509.702647199482,8.58581596196585,0,1.64008214476608,0
"sample_0023","2019-01-14",10,"Tet_Ble_Pca",2,"t0",509.702647199482,8.58581596196585,0,1.64008214476608,0
"sample_0024","2019-01-14",10,"Tet_Ble_Pca",3,"t0",509.702647199482,8.58581596196585,0,1.64008214476608,0
"sample_0025","2019-01-14",10,"Tet_Ble_Col",1,"t0",509.702647199482,0,90.0188482853687,1.64008214476608,0
"sample_0026","2019-01-14",10,"Tet_Ble_Col",2,"t0",509.702647199482,0,90.0188482853687,1.64008214476608,0
"sample_0027","2019-01-14",10,"Tet_Ble_Col",3,"t0",509.702647199482,0,90.0188482853687,1.64008214476608,0
"sample_0001","2019-01-14",17,"Tet",1,"t1",1424.53652910232,0,0,0,7
